paralog_gene,dep_gene,cell_line,delta_z,source
GK3,GK5,cd4t_rest,2.669086828827858,nonsig
FAXDC2,MSMO1,cd4t_rest,5.804470881819725,nonsig
CETN2,CABP4,cd4t_rest,2.7200428768992424,nonsig
METTL8,METTL2B,cd4t_rest,3.180491060018539,nonsig
FUS,EWSR1,cd4t_rest,2.570337250828743,nonsig
COX6B2,COX6B1,cd4t_rest,4.043770052492619,nonsig
ISOC1,ISOC2,cd4t_rest,2.2561077158898115,nonsig
SEMA4D,SEMA4F,cd4t_rest,2.3324927650392056,nonsig
AKR1C2,KCNAB3,cd4t_rest,2.3295516688376665,nonsig
NFE2,NFE2L3,cd4t_rest,2.2433015555143356,nonsig
LRRC26,LRG1,cd4t_rest,2.0633993297815323,nonsig
CXCR2,GALR2,cd4t_rest,3.0475767500465736,nonsig
PSMC2,PSMC5,cd4t_rest,2.001500427722931,nonsig
EGR2,EGR3,cd4t_rest,2.4167787432670593,nonsig
OTX2,MIXL1,cd4t_rest,7.002386666834354,nonsig
PGAM2,PGAM1,cd4t_rest,5.175781764090061,nonsig
MIER3,MIER1,cd4t_rest,2.4311436363495886,nonsig
FKBP11,FKBP4,cd4t_rest,2.087115004658699,nonsig
CYP2S1,CYP2D6,cd4t_rest,3.157387227285654,nonsig
TBX6,TBX21,cd4t_rest,2.180268719792366,nonsig
CELF1,CELF2,cd4t_rest,2.4217491149902344,nonsig
SLC17A7,SLC17A3,cd4t_rest,2.646290563046932,nonsig
DDX46,DDX5,cd4t_rest,2.3418610766530037,nonsig
SMURF2,HUWE1,cd4t_rest,2.161235824227333,nonsig
STX2,STX16,cd4t_rest,2.225589293986559,nonsig
STX12,STX16,cd4t_rest,2.201312261633575,nonsig
SCN4B,MPZL2,cd4t_rest,2.462208635173738,nonsig
AADACL4,NCEH1,cd4t_rest,13.788177371956408,nonsig
PCGF1,BMI1,cd4t_rest,2.7527080103754997,nonsig
ST6GALNAC3,ST6GALNAC6,cd4t_rest,3.1420729905366898,nonsig
GIGYF1,GIGYF2,cd4t_rest,2.102147653698921,nonsig
FKBP4,FKBP2,cd4t_rest,3.8604324758052826,nonsig
FKBP3,FKBP2,cd4t_rest,4.2639007568359375,nonsig
G3BP2,G3BP1,cd4t_rest,2.4183395630680025,nonsig
PPEF1,PPP1CB,cd4t_rest,2.650723922997713,nonsig
PPEF1,PPP1CA,cd4t_rest,2.948516834527254,nonsig
IARS1,IARS2,cd4t_rest,7.295486845076084,nonsig
TGM2,EPB42,cd4t_rest,2.3801468424499035,nonsig
CYP2J2,CYP2D6,cd4t_rest,2.0202240496873856,nonsig
SDR16C5,HSD17B13,cd4t_rest,10.740000769495964,nonsig
SDR16C5,HSD17B11,cd4t_rest,2.671505019068718,nonsig
HSD17B6,HSD17B11,cd4t_rest,2.17019447684288,nonsig
SMARCA1,SMARCA4,cd4t_rest,13.11917034164071,nonsig
SMARCA1,CHD1L,cd4t_rest,3.5438078977167606,nonsig
SMARCA1,HELLS,cd4t_rest,6.0946146585047245,nonsig
MC1R,LPAR2,cd4t_rest,2.045811876654625,nonsig
LPAR1,MC1R,cd4t_rest,3.2921976894140244,nonsig
ST7,ST7L,cd4t_rest,2.0893592685461044,nonsig
MRGPRF,MRGPRD,cd4t_rest,5.045367736369371,nonsig
RFX3,RFX1,cd4t_rest,3.897931721061468,nonsig
ING5,ING4,cd4t_rest,2.0088409911841154,nonsig
CA3,CA11,cd4t_rest,3.645066058263182,nonsig
PCGF2,PCGF1,cd4t_rest,6.9727077186107635,nonsig
B3GNT7,B3GNT9,cd4t_rest,4.317006375640631,nonsig
B3GNT3,B3GNT9,cd4t_rest,6.455274732783437,nonsig
