paralog_gene,mean_dz,max_dz,n_pairs
FBXO17,0.7135324205704275,8.698100404813886,12
CNOT3,0.7132230030522554,2.083369058338977,6
TNFRSF14,0.7128094151460876,0.973461925983429,3
TINAGL1,0.7116634905086054,7.55823830049485,15
LRCH1,0.7113003880475821,1.387380211148411,8
CEP85L,0.7103922698747599,3.336565740406513,5
ATG16L1,0.7100154720246792,1.1371204368770125,3
HSD17B8,0.7091960046026442,1.9840766936540604,9
GRAMD1B,0.7090731114149094,1.558975338935852,3
DRD1,0.7084338207108279,4.831167018506676,6
TRIB1,0.7082828361954954,2.8348085209727287,9
STOML2,0.7042072824247626,2.17474964261055,4
RALGAPA2,0.704070181615742,1.5106381333898753,4
RBM15,0.703100947623077,1.5992677375907078,4
CARMIL2,0.7004714167366425,1.2590345479547975,3
DSTN,0.700457457296802,1.1549532040953636,7
STON2,0.7003956188758215,1.0998223721981049,3
ST6GALNAC2,0.6996786617984373,13.574340932071207,15
TMEM41A,0.6984212312850749,1.407385677099228,4
IL36B,0.698125080515941,9.349928755313158,12
IRS2,0.6971368230879307,0.7507826946675777,3
STAT6,0.6967144523995138,3.908369000069797,27
CASK,0.6966625570009152,1.229981169104576,9
FRAT2,0.6956764174004396,1.3000061102211475,3
PTCH2,0.6947379820048809,3.1710682809352875,6
OSGEPL1,0.6947040582696596,2.800141453742981,3
KLHDC7B,0.6928831084320942,1.2603882364928722,3
CTSD,0.6926144634683927,1.550034720916301,9
ALDH1A1,0.6917146458484543,18.708861756138504,24
SLC25A40,0.6913076701263586,1.1544523388147354,3
CD27,0.6909635197371244,0.8926831185817719,3
RBM38,0.6897075179343423,1.3142332676798103,6
GCM1,0.6892486492482325,1.641139730811119,3
PRSS22,0.6890003569424152,15.749417908489704,18
TOR1B,0.6867704983843371,3.1656765304505825,10
ADTRP,0.68597062677145,1.0485407710075378,3
SARS1,0.6849108431488276,1.4689138680696487,3
ENDOG,0.6844802879176834,1.4373103380203247,4
PSMA5,0.6841177290293694,2.949562084728664,21
RBM11,0.6812595302859942,1.654403917491436,3
FTH1,0.681173362368219,2.019779458642006,4
SP1,0.6809580171075181,5.243363104760647,14
CHST3,0.6799364207933346,2.911638043820858,6
SDR16C5,0.679160941611318,10.740000769495964,17
TCF20,0.679005818666981,1.342193424701691,4
RAB11FIP1,0.6788512781883279,1.4016432762145996,6
YIPF7,0.6787006093396081,2.8411932326853275,9
YJEFN3,0.6779927077392737,1.1692225374281406,3
PRSS33,0.6775252763181925,2.4254757650196552,4
ARPC1A,0.6757056993047639,2.091890327632427,5
CSGALNACT1,0.675606794655323,1.8576236963272097,6
WDR25,0.6740741736542147,0.6740741736542147,1
CHCHD10,0.673757818682741,2.2864765226840973,5
MRPS5,0.6735724973109304,1.848033084730626,3
TMEM45B,0.6732084391017755,1.4967378079891205,3
NDRG1,0.6721193082630634,1.9803319796919825,6
CDH1,0.6720169459780058,1.1022556722164154,3
WSB2,0.6719576918958254,1.2357354369014502,4
CALCOCO2,0.6717381418650297,1.7306634038686752,8
COPA,0.669615051862949,1.3118189085967018,3
ATP1B1,0.6693934433472654,1.597330328077078,3
MTSS2,0.6684224413086971,1.3402303541079164,3
MFSD4A,0.6680055108542243,0.9952027564868332,3
AUTS2,0.66796157322824,0.9589172303676604,3
SLC36A4,0.6635575505594412,0.961264595389366,3
CAPRIN1,0.6614100535710653,1.9387745782732964,3
RRH,0.6612845680986842,1.6220972687005997,6
RGMA,0.6611649201562008,2.2512205839157104,3
STAT4,0.6597334986824231,3.220108300447464,18
DESI2,0.6584833120379415,2.2985004782676697,5
MBD3,0.6580411310775146,2.0723288636654615,8
PSMB7,0.6569023025770524,3.390345623992264,27
SLC15A1,0.6567499029139677,2.2156134508550167,3
MBD6,0.6556020524874622,1.7754481807351112,4
AGMAT,0.6555911600589752,1.0125768333673475,6
ST8SIA5,0.6555864159017801,2.9600895773619413,6
USP5,0.6552754503889167,1.2221786826848984,4
SLC7A1,0.6551254519189419,6.202110301703215,21
TSPYL2,0.6549643761824572,2.9610206726938486,14
AKAP8,0.6540731845940763,2.0865995325148106,8
ECI2,0.6536710823623166,1.045001894235611,4
TNPO3,0.6532003396416124,2.057893936278794,3
GBP4,0.6517032643780112,5.8962287018075585,15
RBCK1,0.6514998268390644,1.8386691063642504,4
