rank,term,p_value,z_score,combined_score,overlapping_genes,adj_p_value,old_p_value,old_adj_p_value,gene_set
44,Positive Regulation Of Cell Morphogenesis Involved In Differentiation (GO:0010770),0.0278457347637399,39.41106719367589,141.13400615713857,IL1RAPL1,0.18563714021535996,0,0,GO_Biological_Process_2023
45,Positive Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901387),0.0278457347637399,39.41106719367589,141.13400615713857,STAC2,0.18563714021535996,0,0,GO_Biological_Process_2023
46,"Negative Regulation Of DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0043518)",0.03013166113678303,36.125,126.5162089708299,MDM2,0.18563714021535996,0,0,GO_Biological_Process_2023
47,Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056),0.031397077899510226,7.600383141762452,26.305233496156742,"SLIT2, ARHGEF40",0.18563714021535996,0,0,GO_Biological_Process_2023
48,Positive Regulation Of Cell Projection Organization (GO:0031346),0.031397077899510226,7.600383141762452,26.305233496156742,"IL1RAPL1, SLIT2",0.18563714021535996,0,0,GO_Biological_Process_2023
49,Protein Transport To Vacuole Involved In Ubiquitin-Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway (GO:0043328),0.03241232681773892,33.34448160535117,114.34544554475478,UBAP1,0.18563714021535996,0,0,GO_Biological_Process_2023
50,Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912),0.03241232681773892,33.34448160535117,114.34544554475478,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
51,Protein Localization To Nucleus (GO:0034504),0.03337384957617618,7.345555555555555,24.974761314831536,"MDM2, TNPO2",0.18563714021535996,0,0,GO_Biological_Process_2023
52,Neuron Projection Guidance (GO:0097485),0.034380199889437434,7.224408014571949,24.348237855708277,"SLIT2, ARHGEF40",0.18563714021535996,0,0,GO_Biological_Process_2023
53,Regulation Of miRNA-mediated Gene Silencing (GO:0060964),0.03468774361932867,30.961180124223603,104.07194686969841,PUM2,0.18563714021535996,0,0,GO_Biological_Process_2023
54,Regulation Of Amyloid Fibril Formation (GO:1905906),0.03468774361932867,30.961180124223603,104.07194686969841,IAPP,0.18563714021535996,0,0,GO_Biological_Process_2023
55,Presynapse Assembly (GO:0099054),0.03468774361932867,30.961180124223603,104.07194686969841,IL1RAPL1,0.18563714021535996,0,0,GO_Biological_Process_2023
56,Regulation Of Presynapse Assembly (GO:1905606),0.036957923317090566,28.895652173913042,95.29714486695593,IL1RAPL1,0.18563714021535996,0,0,GO_Biological_Process_2023
57,Regulation Of Presynapse Organization (GO:0099174),0.036957923317090566,28.895652173913042,95.29714486695593,IL1RAPL1,0.18563714021535996,0,0,GO_Biological_Process_2023
58,Regulation Of Protein Kinase A Signaling (GO:0010738),0.036957923317090566,28.895652173913042,95.29714486695593,IAPP,0.18563714021535996,0,0,GO_Biological_Process_2023
59,"Synaptic Transmission, Cholinergic (GO:0007271)",0.036957923317090566,28.895652173913042,95.29714486695593,CHRNB3,0.18563714021535996,0,0,GO_Biological_Process_2023
60,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902254),0.036957923317090566,28.895652173913042,95.29714486695593,MDM2,0.18563714021535996,0,0,GO_Biological_Process_2023
61,Mesonephric Tubule Development (GO:0072164),0.036957923317090566,28.895652173913042,95.29714486695593,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
62,Cellular Response To Gamma Radiation (GO:0071480),0.036957923317090566,28.895652173913042,95.29714486695593,MDM2,0.18563714021535996,0,0,GO_Biological_Process_2023
63,"DNA Damage Response, Signal Transduction By P53 Class Mediator Resulting In Cell Cycle Arrest (GO:0006977)",0.0392228776844792,27.088315217391305,87.72537577432398,MDM2,0.18563714021535996,0,0,GO_Biological_Process_2023
64,Cell Migration Involved In Sprouting Angiogenesis (GO:0002042),0.0392228776844792,27.088315217391305,87.72537577432398,SLIT2,0.18563714021535996,0,0,GO_Biological_Process_2023
65,Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell (GO:1904996),0.0392228776844792,27.088315217391305,87.72537577432398,SELE,0.18563714021535996,0,0,GO_Biological_Process_2023
